Date	Daily minimum temperature	Daily maximum temperature	Maximum steady wind	Maximum wind gust	Total daily precipitation	Snow depth	Pressure	Icon	Description
2/17/16	31¡F	34¡F	6 Mph	N/A	1.18in	N/A	N/A		weather events not reported
2/18/16	18¡F	33¡F	N/A	N/A	0.03in	N/A	1032.5mb		Snowfall
2/19/16	26¡F	28¡F	7 Mph	N/A	0in	N/A	1032.5mb		weather events not reported
2/20/16	55¡F	58¡F	25 Mph	44 Mph	0in	N/A	1011.4mb		weather events not reported
2/21/16	54¡F	63¡F	16 Mph	24 Mph	0in	N/A	1013.1mb		weather events not reported
2/22/16	35¡F	46¡F	10 Mph	18 Mph	0in	N/A	1017.2mb		weather events not reported
2/23/16	39¡F	44¡F	7 Mph	N/A	0in	N/A	1018.9mb		weather events not reported
2/24/16	41¡F	45¡F	14 Mph	21 Mph	0in	N/A	1014.5mb		weather events not reported
2/25/16	43¡F	53¡F	20 Mph	34 Mph	1.01in	N/A	990.6mb		Thunderstorm
									Rain
2/26/16	29¡F	31¡F	20 Mph	32 Mph	0.06in	N/A	1012.2mb		Snowfall
2/27/16	27¡F	28¡F	8 Mph	N/A	0in	N/A	1022.7mb		weather events not reported
2/28/16	35¡F	38¡F	N/A	N/A	0in	N/A	1017.2mb		weather events not reported
2/29/16	50¡F	60¡F	30 Mph	44 Mph	0in	N/A	1003.1mb		Rain
1/1/16	31¡F	32¡F	17 Mph	22 Mph	0.01in	N/A	N/A		Snowfall
1/2/16	28¡F	37¡F	17 Mph	23 Mph	0in	N/A	1020.4mb		weather events not reported
1/3/16	32¡F	34¡F	15 Mph	N/A	0in	N/A	1015.7mb		weather events not reported
1/4/16	28¡F	32¡F	15 Mph	21 Mph	0in	N/A	1017.9mb		Snowfall
1/5/16	12¡F	17¡F	13 Mph	21 Mph	0.02in	N/A	1034.1mb		weather events not reported
1/6/16	14¡F	42¡F	9 Mph	N/A	0in	N/A	1033.2mb		weather events not reported
1/7/16	23¡F	48¡F	6 Mph	N/A	0in	N/A	1025.2mb		weather events not reported
1/8/16	32¡F	42¡F	5 Mph	N/A	0in	N/A	1020.4mb		weather events not reported
1/9/16	39¡F	45¡F	9 Mph	N/A	0.12in	N/A	1015.5mb		Rain
1/10/16	46¡F	48¡F	17 Mph	28 Mph	0.08in	N/A	1008.5mb		Rain
1/11/16	20¡F	30¡F	24 Mph	37 Mph	0.65in	N/A	1011.8mb		Snowfall
1/12/16	20¡F	29¡F	15 Mph	23 Mph	0in	N/A	1013.4mb		Snowfall
1/13/16	6¡F	32¡F	23 Mph	30 Mph	0.05in	N/A	1020.7mb		Snowfall
1/14/16	19¡F	22¡F	10 Mph	N/A	0in	N/A	1015.5mb		Snowfall
1/15/16	42¡F	44¡F	N/A	N/A	0in	N/A	1011.4mb		weather events not reported
1/16/16	42¡F	48¡F	15 Mph	N/A	0.13in	N/A	998.7mb		Rain
1/17/16	32¡F	33¡F	10 Mph	N/A	0.06in	N/A	1012.2mb		weather events not reported
1/18/16	10¡F	26¡F	20 Mph	31 Mph	0in	N/A	N/A		Snowfall
1/19/16	10¡F	11¡F	16 Mph	22 Mph	0in	N/A	1024.5mb		Snowfall
1/20/16	12¡F	15¡F	8 Mph	N/A	0in	N/A	1032.5mb		weather events not reported
1/21/16	14¡F	20¡F	N/A	17 Mph	0.03in	N/A	N/A		Snowfall
1/22/16	19¡F	22¡F	5 Mph	N/A	0in	N/A	1027.9mb		weather events not reported
1/23/16	19¡F	20¡F	N/A	21 Mph	0.16in	N/A	1015.7mb		Fog
									Snowfall
1/24/16	16¡F	24¡F	14 Mph	18 Mph	0.33in	N/A	1017.4mb		weather events not reported
1/25/16	20¡F	27¡F	7 Mph	N/A	0in	N/A	1020.9mb		weather events not reported
1/26/16	38¡F	44¡F	14 Mph	N/A	0in	N/A	1016.9mb		weather events not reported
1/27/16	33¡F	36¡F	N/A	21 Mph	0.02in	N/A	1019.3mb		weather events not reported
1/28/16	24¡F	28¡F	8 Mph	N/A	0in	N/A	1020.0mb		weather events not reported
1/29/16	35¡F	39¡F	16 Mph	21 Mph	0in	N/A	1003.8mb		Snowfall
1/30/16	22¡F	26¡F	8 Mph	N/A	0.02in	N/A	1017.0mb		weather events not reported
1/31/16	49¡F	50¡F	13 Mph	N/A	0in	N/A	1010.9mb		weather events not reported
12/1/15	44¡F	58¡F	14 Mph	N/A	0.13in	N/A	1016.3mb		Fog
									Rain
12/2/15	45¡F	59¡F	N/A	18 Mph	0.48in	N/A	1010.0mb		Rain
12/3/15	34¡F	52¡F	15 Mph	25 Mph	0.28in	N/A	1018.2mb		Snowfall
									Rain
12/4/15	34¡F	47¡F	13 Mph	N/A	0in	N/A	1032.7mb		weather events not reported
12/5/15	27¡F	50¡F	7 Mph	N/A	0in	N/A	1038.1mb		weather events not reported
12/6/15	26¡F	50¡F	6 Mph	N/A	0in	N/A	1033.6mb		weather events not reported
12/7/15	26¡F	50¡F	8 Mph	N/A	0in	N/A	1023.8mb		weather events not reported
12/8/15	29¡F	50¡F	9 Mph	N/A	0in	N/A	1020.9mb		weather events not reported
12/9/15	33¡F	57¡F	N/A	22 Mph	0in	N/A	1016.0mb		weather events not reported
12/10/15	33¡F	58¡F	13 Mph	17 Mph	0.01in	N/A	1013.3mb		Rain
12/11/15	48¡F	51¡F	10 Mph	N/A	0in	N/A	1009.9mb		weather events not reported
12/12/15	53¡F	59¡F	8 Mph	N/A	0in	N/A	1016.8mb		weather events not reported
12/13/15	59¡F	67¡F	9 Mph	N/A	0in	N/A	1020.9mb		weather events not reported
12/14/15	56¡F	61¡F	7 Mph	N/A	0in	N/A	1012.9mb		weather events not reported
12/15/15	52¡F	60¡F	16 Mph	24 Mph	0.32in	N/A	999.8mb		Rain
12/16/15	44¡F	45¡F	7 Mph	N/A	0in	N/A	1016.4mb		weather events not reported
12/17/15	51¡F	53¡F	N/A	N/A	0in	N/A	1009.5mb		weather events not reported
12/18/15	35¡F	41¡F	9 Mph	20 Mph	0.57in	N/A	1012.0mb		weather events not reported
12/19/15	28¡F	30¡F	22 Mph	34 Mph	0.01in	N/A	1018.4mb		Snowfall
12/20/15	27¡F	30¡F	15 Mph	20 Mph	0in	N/A	1032.0mb		weather events not reported
12/21/15	35¡F	42¡F	10 Mph	N/A	0in	N/A	1025.5mb		weather events not reported
12/22/15	54¡F	55¡F	14 Mph	18 Mph	0.03in	N/A	1015.5mb		Rain
12/23/15	51¡F	56¡F	7 Mph	N/A	0.27in	N/A	1015.7mb		weather events not reported
12/24/15	58¡F	65¡F	N/A	23 Mph	0in	N/A	1004.8mb		Rain
12/25/15	50¡F	60¡F	9 Mph	N/A	0.41in	N/A	1019.5mb		weather events not reported
12/26/15	48¡F	63¡F	10 Mph	N/A	0.03in	N/A	1025.6mb		Rain
12/27/15	53¡F	56¡F	16 Mph	N/A	0.44in	N/A	N/A		Rain
12/28/15	36¡F	41¡F	17 Mph	28 Mph	0.51in	N/A	1023.8mb		Rain
12/29/15	41¡F	46¡F	25 Mph	39 Mph	0.25in	N/A	1014.2mb		Rain
12/30/15	44¡F	48¡F	9 Mph	N/A	0.02in	N/A	1021.0mb		weather events not reported
11/1/15	53¡F	65¡F	17 Mph	25 Mph	0.01in	N/A	1013.3mb		Rain
11/2/15	53¡F	57¡F	9 Mph	N/A	0.02in	N/A	1017.8mb		weather events not reported
11/3/15	50¡F	62¡F	6 Mph	N/A	0in	N/A	1019.9mb		weather events not reported
11/4/15	58¡F	68¡F	7 Mph	N/A	0in	N/A	1023.8mb		weather events not reported
11/5/15	65¡F	74¡F	9 Mph	N/A	0in	N/A	1022.5mb		weather events not reported
11/6/15	65¡F	70¡F	9 Mph	N/A	0in	N/A	1017.2mb		weather events not reported
11/7/15	53¡F	65¡F	14 Mph	N/A	0.32in	N/A	1017.5mb		weather events not reported
11/8/15	39¡F	57¡F	9 Mph	N/A	0in	N/A	1029.1mb		weather events not reported
11/9/15	41¡F	49¡F	5 Mph	N/A	0in	N/A	1029.2mb		weather events not reported
11/10/15	53¡F	56¡F	9 Mph	N/A	0in	N/A	1021.0mb		Rain
11/11/15	47¡F	49¡F	N/A	18 Mph	0.67in	N/A	1015.5mb		weather events not reported
11/12/15	43¡F	47¡F	7 Mph	N/A	0in	N/A	1013.4mb		weather events not reported
11/13/15	50¡F	51¡F	22 Mph	39 Mph	0in	N/A	1007.9mb		weather events not reported
11/14/15	41¡F	44¡F	18 Mph	32 Mph	0in	N/A	1018.1mb		weather events not reported
11/15/15	38¡F	42¡F	9 Mph	N/A	0in	N/A	1028.5mb		weather events not reported
11/16/15	50¡F	54¡F	N/A	N/A	0in	N/A	1026.3mb		weather events not reported
11/17/15	50¡F	58¡F	6 Mph	N/A	0in	N/A	1025.4mb		weather events not reported
11/18/15	57¡F	59¡F	17 Mph	24 Mph	0in	N/A	1023.7mb		weather events not reported
11/19/15	53¡F	65¡F	18 Mph	31 Mph	0.31in	N/A	1014.7mb		Rain
11/20/15	43¡F	56¡F	20 Mph	25 Mph	0.11in	N/A	1020.2mb		weather events not reported
11/21/15	37¡F	44¡F	5 Mph	N/A	0in	N/A	1025.1mb		weather events not reported
11/22/15	39¡F	53¡F	24 Mph	34 Mph	0.05in	N/A	1009.8mb		Rain
11/23/15	25¡F	30¡F	9 Mph	N/A	0in	N/A	1021.0mb		weather events not reported
11/24/15	33¡F	35¡F	8 Mph	N/A	0in	N/A	1022.5mb		weather events not reported
11/25/15	35¡F	40¡F	7 Mph	N/A	0in	N/A	1031.7mb		weather events not reported
11/26/15	44¡F	50¡F	N/A	18 Mph	0in	N/A	1034.9mb		weather events not reported
11/27/15	54¡F	57¡F	N/A	N/A	0in	N/A	1033.3mb		weather events not reported
11/28/15	61¡F	63¡F	10 Mph	N/A	0in	N/A	1024.8mb		weather events not reported
11/29/15	42¡F	45¡F	9 Mph	N/A	0.23in	N/A	N/A		weather events not reported
11/30/15	36¡F	38¡F	6 Mph	N/A	0.01in	N/A	1025.7mb		weather events not reported
10/1/15	51¡F	64¡F	10 Mph	20 Mph	0.01in	N/A	1019.3mb		weather events not reported
10/2/15	51¡F	56¡F	13 Mph	22 Mph	0in	N/A	1021.9mb		weather events not reported
10/3/15	42¡F	52¡F	14 Mph	24 Mph	0.63in	N/A	1021.2mb		Rain
10/4/15	48¡F	61¡F	13 Mph	17 Mph	0.15in	N/A	1022.8mb		weather events not reported
10/5/15	49¡F	56¡F	8 Mph	N/A	0in	N/A	1022.4mb		weather events not reported
10/6/15	55¡F	63¡F	3 Mph	N/A	0in	N/A	1019.6mb		weather events not reported
10/7/15	62¡F	65¡F	5 Mph	N/A	0in	N/A	1017.7mb		weather events not reported
10/8/15	57¡F	65¡F	7 Mph	N/A	0in	N/A	1020.2mb		weather events not reported
10/9/15	62¡F	66¡F	8 Mph	N/A	0in	N/A	1015.8mb		weather events not reported
10/10/15	51¡F	59¡F	13 Mph	23 Mph	0.43in	N/A	1019.2mb		weather events not reported
10/11/15	44¡F	56¡F	6 Mph	N/A	0in	N/A	1018.0mb		weather events not reported
10/12/15	50¡F	59¡F	9 Mph	N/A	0in	N/A	1012.3mb		weather events not reported
10/13/15	47¡F	72¡F	16 Mph	28 Mph	0.08in	N/A	1002.3mb		Rain
10/14/15	53¡F	56¡F	10 Mph	18 Mph	0in	N/A	1008.2mb		weather events not reported
10/15/15	46¡F	50¡F	7 Mph	N/A	0in	N/A	1015.8mb		weather events not reported
10/16/15	44¡F	55¡F	15 Mph	26 Mph	0.05in	N/A	1018.5mb		Rain
10/17/15	42¡F	48¡F	7 Mph	N/A	0.04in	N/A	1021.4mb		weather events not reported
10/18/15	35¡F	37¡F	9 Mph	N/A	0in	N/A	1027.5mb		weather events not reported
10/19/15	33¡F	38¡F	5 Mph	N/A	0in	N/A	1031.4mb		weather events not reported
10/20/15	47¡F	51¡F	8 Mph	N/A	0in	N/A	1025.4mb		weather events not reported
10/21/15	54¡F	60¡F	8 Mph	N/A	0in	N/A	1025.3mb		weather events not reported
10/22/15	57¡F	62¡F	9 Mph	N/A	0in	N/A	1024.0mb		weather events not reported
10/23/15	45¡F	71¡F	8 Mph	N/A	0.07in	N/A	1025.0mb		weather events not reported
10/24/15	45¡F	65¡F	14 Mph	20 Mph	0in	N/A	1020.5mb		Rain
10/25/15	50¡F	65¡F	15 Mph	24 Mph	0.44in	N/A	1020.6mb		Rain
10/26/15	43¡F	49¡F	7 Mph	N/A	0in	N/A	1028.2mb		weather events not reported
10/27/15	43¡F	50¡F	8 Mph	N/A	0in	N/A	1030.1mb		weather events not reported
10/28/15	51¡F	52¡F	10 Mph	N/A	0.23in	N/A	1023.1mb		Rain
10/29/15	61¡F	64¡F	N/A	N/A	0in	N/A	1001.8mb		weather events not reported
10/30/15	42¡F	61¡F	N/A	18 Mph	0.09in	N/A	1016.8mb		weather events not reported
10/31/15	45¡F	58¡F	15 Mph	20 Mph	0in	N/A	1020.5mb		weather events not reported
9/1/15	66¡F	88¡F	7 Mph	N/A	0in	N/A	1018.9mb		weather events not reported
9/2/15	66¡F	88¡F	9 Mph	N/A	0in	N/A	1017.9mb		Thunderstorm
									Rain
9/3/15	70¡F	78¡F	9 Mph	N/A	0in	N/A	1015.5mb		weather events not reported
9/4/15	70¡F	76¡F	9 Mph	N/A	0in	N/A	1014.8mb		weather events not reported
9/5/15	67¡F	88¡F	14 Mph	22 Mph	0in	N/A	1020.8mb		Rain
9/6/15	67¡F	90¡F	9 Mph	N/A	0.99in	N/A	1021.2mb		weather events not reported
9/7/15	66¡F	89¡F	9 Mph	N/A	0in	N/A	1019.1mb		weather events not reported
9/8/15	66¡F	90¡F	10 Mph	17 Mph	0in	N/A	1016.5mb		weather events not reported
9/9/15	70¡F	83¡F	7 Mph	N/A	0in	N/A	1013.3mb		weather events not reported
9/10/15	69¡F	70¡F	7 Mph	N/A	0.01in	N/A	N/A		weather events not reported
9/11/15	61¡F	67¡F	3 Mph	N/A	0.8in	N/A	1011.6mb		weather events not reported
9/12/15	63¡F	72¡F	6 Mph	N/A	0in	N/A	1009.2mb		Rain
9/13/15	52¡F	65¡F	N/A	22 Mph	0.2in	N/A	1013.1mb		Rain
9/14/15	50¡F	72¡F	N/A	18 Mph	0.01in	N/A	1021.0mb		weather events not reported
9/15/15	48¡F	77¡F	8 Mph	N/A	0in	N/A	1027.3mb		weather events not reported
9/16/15	63¡F	73¡F	3 Mph	N/A	0in	N/A	1027.6mb		weather events not reported
9/17/15	64¡F	76¡F	6 Mph	N/A	0in	N/A	1023.4mb		weather events not reported
9/18/15	62¡F	76¡F	6 Mph	N/A	0in	N/A	1017.5mb		weather events not reported
9/19/15	67¡F	75¡F	8 Mph	N/A	0in	N/A	1013.8mb		weather events not reported
9/20/15	56¡F	66¡F	18 Mph	34 Mph	0.11in	N/A	1016.4mb		Rain
9/21/15	57¡F	62¡F	8 Mph	N/A	0in	N/A	1019.7mb		weather events not reported
9/22/15	59¡F	62¡F	10 Mph	N/A	0in	N/A	1021.8mb		weather events not reported
9/23/15	54¡F	76¡F	8 Mph	17 Mph	0in	N/A	1024.4mb		weather events not reported
9/24/15	63¡F	68¡F	5 Mph	N/A	0in	N/A	1024.3mb		weather events not reported
9/25/15	63¡F	70¡F	N/A	N/A	0in	N/A	1024.9mb		weather events not reported
9/26/15	62¡F	67¡F	8 Mph	N/A	0in	N/A	1025.6mb		weather events not reported
9/27/15	61¡F	64¡F	9 Mph	N/A	0in	N/A	1027.3mb		weather events not reported
9/28/15	63¡F	66¡F	14 Mph	22 Mph	N/A	N/A	1023.5mb		Rain
9/29/15	62¡F	73¡F	7 Mph	N/A	0.22in	N/A	1016.2mb		Fog
									Rain
9/30/15	63¡F	66¡F	13 Mph	22 Mph	2.02in	N/A	N/A		Rain
8/1/15	66¡F	85¡F	16 Mph	22 Mph	0in	N/A	1012.6mb		weather events not reported
8/2/15	60¡F	86¡F	16 Mph	23 Mph	0in	N/A	1013.6mb		weather events not reported
8/3/15	68¡F	77¡F	N/A	N/A	0in	N/A	1011.2mb		weather events not reported
8/4/15	66¡F	69¡F	14 Mph	21 Mph	0.85in	N/A	N/A		Thunderstorm
									Rain
8/5/15	68¡F	74¡F	6 Mph	N/A	0in	N/A	1015.1mb		weather events not reported
8/6/15	63¡F	71¡F	7 Mph	N/A	0in	N/A	1017.3mb		weather events not reported
8/7/15	61¡F	66¡F	6 Mph	N/A	0in	N/A	1013.1mb		weather events not reported
8/8/15	67¡F	71¡F	6 Mph	N/A	0in	N/A	1012.9mb		weather events not reported
8/9/15	63¡F	84¡F	9 Mph	17 Mph	0in	N/A	1015.2mb		weather events not reported
8/10/15	65¡F	84¡F	10 Mph	N/A	0in	N/A	1012.8mb		weather events not reported
8/11/15	72¡F	77¡F	10 Mph	N/A	0in	N/A	1008.6mb		weather events not reported
8/12/15	62¡F	80¡F	13 Mph	22 Mph	0in	N/A	1015.7mb		weather events not reported
8/13/15	55¡F	77¡F	10 Mph	N/A	0in	N/A	1019.9mb		weather events not reported
8/14/15	62¡F	72¡F	7 Mph	N/A	0in	N/A	1021.0mb		weather events not reported
8/15/15	58¡F	86¡F	10 Mph	N/A	0in	N/A	1020.4mb		weather events not reported
8/16/15	70¡F	80¡F	5 Mph	N/A	0in	N/A	1020.7mb		weather events not reported
8/17/15	64¡F	89¡F	10 Mph	N/A	0in	N/A	1019.6mb		weather events not reported
8/18/15	71¡F	83¡F	8 Mph	N/A	0in	N/A	1016.6mb		weather events not reported
8/19/15	70¡F	72¡F	6 Mph	N/A	0in	N/A	1013.4mb		weather events not reported
8/20/15	74¡F	78¡F	8 Mph	N/A	0in	N/A	1011.3mb		weather events not reported
8/21/15	63¡F	81¡F	9 Mph	N/A	0in	N/A	1016.9mb		weather events not reported
8/22/15	63¡F	72¡F	5 Mph	N/A	0in	N/A	1020.7mb		weather events not reported
8/23/15	63¡F	71¡F	7 Mph	N/A	0in	N/A	1018.5mb		weather events not reported
8/24/15	60¡F	82¡F	15 Mph	21 Mph	0in	N/A	1012.3mb		weather events not reported
8/25/15	63¡F	72¡F	10 Mph	N/A	0in	N/A	1013.6mb		weather events not reported
8/26/15	60¡F	63¡F	7 Mph	N/A	0in	N/A	1017.0mb		weather events not reported
8/27/15	55¡F	68¡F	6 Mph	N/A	0in	N/A	1020.5mb		weather events not reported
8/28/15	59¡F	66¡F	5 Mph	N/A	0in	N/A	1022.0mb		weather events not reported
8/29/15	65¡F	74¡F	5 Mph	N/A	0in	N/A	1021.5mb		weather events not reported
8/30/15	70¡F	78¡F	7 Mph	N/A	0in	N/A	1018.9mb		weather events not reported
8/31/15	70¡F	77¡F	10 Mph	N/A	0in	N/A	1018.9mb		weather events not reported
7/1/15	59¡F	75¡F	14 Mph	18 Mph	0.24in	N/A	1011.8mb		weather events not reported
7/2/15	64¡F	69¡F	6 Mph	N/A	0in	N/A	1013.5mb		weather events not reported
7/3/15	62¡F	70¡F	6 Mph	N/A	0in	N/A	1014.0mb		weather events not reported
7/4/15	64¡F	70¡F	14 Mph	18 Mph	N/A	N/A	1012.0mb		Rain
7/5/15	67¡F	72¡F	5 Mph	N/A	0in	N/A	1017.2mb		weather events not reported
7/6/15	72¡F	75¡F	8 Mph	N/A	0in	N/A	1018.6mb		weather events not reported
7/7/15	67¡F	74¡F	9 Mph	17 Mph	0.15in	N/A	1016.5mb		weather events not reported
7/8/15	70¡F	72¡F	10 Mph	N/A	0.2in	N/A	1014.8mb		weather events not reported
7/9/15	65¡F	83¡F	23 Mph	31 Mph	0.01in	N/A	1015.5mb		Rain
7/10/15	62¡F	83¡F	N/A	17 Mph	0.35in	N/A	1018.5mb		Rain
7/11/15	68¡F	70¡F	5 Mph	N/A	0in	N/A	1019.2mb		weather events not reported
7/12/15	68¡F	75¡F	N/A	N/A	0in	N/A	1019.8mb		weather events not reported
7/13/15	65¡F	67¡F	5 Mph	N/A	N/A	N/A	1014.8mb		Rain
7/14/15	70¡F	75¡F	9 Mph	N/A	0in	N/A	1006.5mb		Rain
7/15/15	66¡F	69¡F	10 Mph	N/A	0in	N/A	1002.2mb		Rain
7/16/15	60¡F	69¡F	8 Mph	N/A	0in	N/A	1015.3mb		weather events not reported
7/17/15	66¡F	73¡F	6 Mph	N/A	0in	N/A	1016.5mb		weather events not reported
7/18/15	75¡F	78¡F	8 Mph	N/A	0in	N/A	1013.3mb		weather events not reported
7/19/15	75¡F	81¡F	9 Mph	N/A	0.03in	N/A	1013.1mb		weather events not reported
7/20/15	73¡F	80¡F	14 Mph	N/A	0in	N/A	1010.7mb		weather events not reported
7/21/15	74¡F	79¡F	8 Mph	N/A	0in	N/A	1007.6mb		Thunderstorm
									Rain
7/22/15	64¡F	71¡F	8 Mph	18 Mph	0.07in	N/A	1010.7mb		weather events not reported
7/23/15	64¡F	69¡F	7 Mph	N/A	0in	N/A	1015.5mb		weather events not reported
7/24/15	66¡F	74¡F	7 Mph	N/A	0in	N/A	1015.7mb		weather events not reported
7/25/15	70¡F	77¡F	7 Mph	N/A	0in	N/A	1015.6mb		weather events not reported
7/26/15	72¡F	80¡F	8 Mph	N/A	0in	N/A	1014.3mb		weather events not reported
7/27/15	72¡F	77¡F	7 Mph	N/A	0in	N/A	1014.7mb		weather events not reported
7/28/15	68¡F	88¡F	7 Mph	N/A	0in	N/A	1015.8mb		weather events not reported
7/29/15	69¡F	91¡F	8 Mph	N/A	0in	N/A	1014.7mb		weather events not reported
7/30/15	77¡F	83¡F	9 Mph	N/A	0in	N/A	1013.1mb		weather events not reported
7/31/15	66¡F	85¡F	18 Mph	26 Mph	0in	N/A	1014.4mb		weather events not reported
